,0,1,2,3
1229,0.13351,-1.689416,10.219928,0
1730,0.504583,0.175629,9.936502,0
1483,0.666393,1.132218,6.478518,1
1906,0.377786,0.245942,9.961851,0
272,0.46,-0.69,9.96,0
1132,1.28899,-1.655447,7.928121,1
1756,0.394517,0.228416,9.96121,0
670,0.446643,-1.163726,9.897476,0
1793,0.36456,0.241719,9.960674,0
482,-0.147751,1.398118,7.001814,1
422,-2.622857,-2.731928,14.107585,1
371,-1.096678,0.597305,10.479622,0
1519,-1.499967,-0.412502,-1.829007,1
982,0.0912,-0.413574,9.860348,0
1967,0.34783,0.257118,9.721943,0
1040,0.068608,-0.466094,9.946548,0
1803,0.365212,0.241154,10.007956,0
1013,0.080991,-0.448989,9.996655,0
987,0.100183,-0.439346,9.926954,0
704,0.370814,-0.624331,9.456628,0
175,-2.49,-0.06,4.28,1
579,0.44648,-1.182764,9.964236,0
755,0.863464,-2.097321,1.182037,1
1739,0.225179,0.226338,10.000073,0
1272,0.097952,-1.60945,9.804754,0
334,-0.199811,-0.978194,9.859475,0
889,0.305778,-2.395849,9.650788,0
674,0.449133,-1.179528,9.895235,0
1151,2.82058,-2.124672,18.436743,1
1593,0.796417,-2.037782,7.674709,0
1627,0.269769,0.364819,10.018977,0
15,0.37,-0.32,10.05,0
1699,2.790969,-1.903668,11.627287,0
812,0.391739,-2.525672,9.537809,0
1664,1.251612,-1.338732,19.412704,1
588,0.472213,-1.154369,9.864149,0
873,0.307195,-2.387986,9.664636,0
465,1.005249,-2.35938,5.667257,1
199,2.17,-1.43,1.4,1
1190,0.075245,-0.230179,6.605459,0
1335,0.118523,-1.613242,9.820067,0
1117,0.196028,1.837885,7.929941,1
1281,0.115439,-1.627023,9.819492,0
819,0.334547,-2.358279,9.631098,0
706,-0.114778,0.560674,11.171948,0
1381,0.141162,-1.629024,9.77634,0
1394,0.102836,-1.629934,9.856124,0
1574,-2.290073,3.711587,17.092857,1
887,0.297561,-2.390582,9.666273,0
43,0.36,-0.24,9.97,0
274,0.46,-0.7,10.0,0
1934,0.289133,0.16588,10.040794,0
101,0.36,-0.26,9.99,0
1799,0.37657,0.24146,9.951633,0
707,0.087637,0.532537,9.260849,0
1544,-3.615848,-0.345186,2.993231,1
107,0.75,1.24,9.68,0
1702,-0.085684,-1.646971,10.177052,0
497,0.028462,-2.246173,9.632975,0
1955,0.367682,0.248681,9.976026,0
1718,0.049981,0.371283,9.792275,0
1326,0.113638,-1.616259,9.831665,0
1452,0.301871,0.451767,9.962264,0
1322,0.107059,-1.644204,9.832259,0
1278,0.103908,-1.630154,9.824894,0
596,0.455645,-1.173657,9.861583,0
576,0.462474,-1.200903,9.971725,0
72,0.35,-0.25,10.0,0
978,0.088796,-0.429137,10.037815,0
1198,0.049732,-1.291394,8.596161,0
1843,0.357895,0.234929,9.976772,0
611,0.448491,-1.174442,9.894498,0
481,-2.309236,2.694693,9.955934,1
1055,0.074153,-0.483227,9.974455,0
506,-0.434931,-2.079249,10.37151,0
654,0.44695,-1.180705,9.917301,0
1273,0.112441,-1.616929,9.827719,0
1964,0.53746,0.175916,9.9008,0
1850,0.376934,0.230293,9.952897,0
923,0.298289,-2.382508,9.656438,0
1393,0.109884,-1.567924,9.619098,0
311,-0.208545,-0.873673,9.926332,0
1407,0.350607,0.439872,9.874952,0
405,-0.684416,0.538389,9.57108,0
1925,0.377795,0.245798,9.949028,0
1128,-1.182094,0.210278,4.747683,1
309,-0.197723,-1.011694,9.79308,0
226,1.36,-1.37,8.91,0
1677,-0.61009,0.568441,7.1558,1
932,0.300875,-2.397975,9.657855,0
1509,-3.882677,1.805266,0.226108,1
1343,0.097262,-1.62574,9.819617,0
771,3.198299,-1.663262,13.590313,1
148,-3.22,2.12,10.24,1
1293,0.089093,-1.618701,9.805309,0
693,0.451546,-1.165766,9.887967,0
941,0.297322,-2.391185,9.668601,0
1732,0.805065,0.040041,10.007744,0
809,-0.478467,-2.14418,10.169438,0
575,0.457858,-1.16747,9.856507,0
557,-0.057279,-2.345293,9.672689,0
1310,0.117383,-1.641388,9.820651,0
1706,-0.268514,0.63182,9.339685,0
1328,0.101734,-1.634225,9.818975,0
1146,-0.205145,1.760198,4.767593,1
1204,0.128233,-1.274261,8.164208,0
286,-0.171923,-1.148681,10.611906,0
1936,0.413776,0.254705,9.96959,0
1159,-3.655841,0.893775,14.911941,1
