,0,1,2,3
1712,0.864853,-0.003323,9.686069,0
531,-0.066176,-2.30916,9.686797,0
224,0.73,-2.49,9.61,0
723,-0.059156,0.022802,4.121733,1
786,0.880195,-0.638524,8.652339,1
1696,0.189094,-0.514524,9.178546,0
973,0.089313,-0.431454,10.137615,0
409,-0.016932,0.334384,5.236358,1
325,-0.196085,-0.912756,9.971266,0
1084,-0.42613,-1.084554,9.63309,0
299,-0.202798,-0.913723,10.150199,0
1263,0.123675,-1.636705,9.895638,0
1125,-1.224787,-0.984917,-0.668289,1
25,0.36,-0.25,10.09,0
1847,0.368946,0.253584,9.97277,0
714,-0.160651,-1.276042,12.600558,0
1929,0.386261,0.253038,9.970231,0
193,2.81,-4.26,15.24,1
440,0.841504,-1.604335,5.330431,1
573,0.455511,-1.111503,9.759341,0
946,0.297609,-2.393474,9.671396,0
503,0.644481,-3.553378,8.782784,0
605,0.461075,-1.166608,9.8802,0
1157,3.041364,-2.549078,34.227882,1
1729,0.198096,0.330333,9.895723,0
1764,0.451546,0.211753,9.965711,0
846,0.312721,-2.387919,9.665018,0
3,0.33,-0.17,10.2,0
1134,1.331061,-1.23129,4.980103,1
1206,0.138797,-1.573747,10.465927,0
467,2.285668,-0.434902,6.871129,1
321,-0.19506,-0.973425,9.880746,0
5,0.37,-0.37,10.03,0
222,-0.19,-1.31,10.46,0
1355,0.098191,-1.619486,9.830966,0
547,-0.054885,-2.372539,9.663285,0
228,1.23,-0.94,10.08,0
39,0.38,-0.26,10.01,0
542,-0.079861,-2.391836,9.665105,0
242,0.82,-0.77,9.7,0
898,0.308498,-2.388216,9.6564,0
1118,0.526303,0.763051,3.731746,1
136,3.61,2.14,14.75,1
1175,0.718826,-3.455082,0.089629,1
1733,0.688927,0.062508,9.984607,0
1552,0.219951,-0.71805,1.262817,1
999,0.063216,-0.419177,9.916717,0
829,0.318391,-2.394556,9.668199,0
445,-1.238846,-1.135742,12.757026,1
842,0.292265,-2.396251,9.664905,0
1073,0.074843,-0.496577,9.955742,0
1399,0.219634,0.440533,10.14474,0
1548,1.592508,-1.141115,8.926676,1
1802,0.347925,0.238769,9.984702,0
581,0.465816,-1.158535,9.801325,0
1742,0.491539,0.018598,10.278997,0
1944,0.375736,0.234479,9.948741,0
661,0.451891,-1.183511,9.898644,0
436,0.938824,-0.55874,2.025255,1
1833,0.372069,0.253546,9.969026,0
376,-0.826708,0.167182,10.394254,0
1457,0.36592,0.929008,9.276632,0
965,0.2856,-2.41324,9.693854,0
1777,0.605417,0.159751,9.836081,0
314,-0.191785,-0.989619,9.94334,0
1727,-0.043948,0.429759,10.021774,0
442,1.384059,-4.492614,12.837001,1
1970,0.371867,0.206284,10.290116,0
319,-0.199111,-0.894713,9.951777,0
281,-0.194792,-1.037858,9.645319,0
691,0.452552,-1.18807,9.901566,0
1316,0.117814,-1.621602,9.827183,0
1805,0.372624,0.256543,9.894651,0
424,1.508376,-2.299535,16.876862,1
553,-0.057729,-2.373075,9.651966,0
594,0.450196,-1.19237,9.948895,0
1938,0.375861,0.259666,9.911047,0
622,0.442458,-1.176597,9.913374,0
1412,0.359178,0.447448,9.880382,0
1050,0.07151,-0.480851,9.966918,0
227,1.03,-1.1,9.54,0
1103,0.567493,-1.114702,3.102206,1
1885,0.364905,0.245185,9.963298,0
1083,0.319454,-0.318697,9.226525,0
66,0.37,-0.26,9.98,0
24,0.38,-0.27,10.06,0
144,-0.23,-1.3,3.27,1
536,-0.053419,-2.349114,9.63307,0
811,-0.016558,-2.405301,9.880372,0
1105,-0.933777,3.211841,3.724592,1
85,0.36,-0.25,9.99,0
1315,0.10365,-1.624418,9.839595,0
1057,0.082638,-0.479539,9.955569,0
1782,0.393597,0.207663,9.915721,0
1882,0.387315,0.245224,9.960205,0
1353,0.101141,-1.612897,9.81933,0
1463,-0.681265,0.772954,9.878026,0
362,-0.208554,-0.972563,9.88131,0
1591,0.124259,-2.427357,8.265771,0
1137,-0.323189,-0.049005,-3.080485,1
1026,0.069154,-0.455396,9.987844,0
1030,0.07332,-0.445465,9.971419,0
1284,0.102299,-1.6185,9.823515,0
1336,0.09573,-1.61804,9.825421,0
1775,0.244391,0.890796,10.021276,0
665,0.455741,-1.162241,9.900743,0
364,-0.179431,-0.942339,9.901125,0
77,0.36,-0.25,10.0,0
27,0.36,-0.24,9.9,0
1417,0.34375,0.450014,9.885381,0
525,-0.106791,-2.405665,9.698576,0
1812,0.373285,0.243845,9.991301,0
55,0.35,-0.25,10.0,0
638,0.456469,-1.175888,9.89853,0
302,-0.188816,-1.06813,9.749879,0
718,0.314225,-1.656012,11.264518,0
624,0.45666,-1.171263,9.896078,0
7,0.36,-0.13,9.77,0
803,-1.971481,-2.283954,8.224313,0
1049,0.069097,-0.477691,9.95736,0
336,-0.203775,-0.94955,9.934079,0
47,0.35,-0.24,9.95,0
1460,0.539691,2.523441,9.668964,0
106,-0.18,0.64,10.05,0
349,-0.210086,-0.88777,9.896021,0
238,0.4,-0.82,10.3,0
213,2.13,-4.25,13.48,1
1235,0.083155,-1.663099,10.170397,0
1867,0.378236,0.238405,9.946529,0
793,0.338712,0.359006,1.574245,1
1165,-6.755594,-0.263065,40.901615,1
1562,-2.646139,1.798745,0.318668,1
1651,0.508136,1.821873,11.46995,1
523,-0.040931,-2.257665,9.691556,0
232,0.23,-0.47,9.77,0
644,0.441338,-1.186499,9.913451,0
1488,0.726286,-0.156705,8.972414,1
533,-0.064892,-2.388465,9.612949,0
1489,2.37704,-1.639214,17.056705,1
603,0.448472,-1.161504,9.896777,0
1193,-0.389336,-1.680806,11.400154,0
1074,0.064203,-0.485831,9.948761,0
1285,0.110976,-1.627214,9.838934,0
60,0.37,-0.25,9.99,0
1244,0.103372,-1.59178,9.755816,0
92,0.36,-0.24,9.97,0
666,0.45055,-1.178943,9.904775,0
280,-0.20661,-1.206706,10.51114,0
1740,0.471686,0.265268,9.481508,0
359,-0.188807,-0.936095,9.902141,0
1114,1.000422,-2.597556,6.000616,1
1686,1.02265,2.085867,2.702077,1
847,0.306161,-2.389538,9.663572,0
1358,0.103573,-1.634292,9.817663,0
110,0.51,0.09,9.62,0
42,0.35,-0.24,10.0,0
125,-1.15,1.03,11.37,1
204,-2.25,-0.3,3.44,1
52,0.36,-0.25,9.99,0
545,-0.049627,-2.361755,9.662749,0
68,0.36,-0.26,9.99,0
1121,-1.935176,-0.326674,7.210272,1
1604,-0.057901,-0.740957,10.295709,0
183,0.68,-3.07,9.66,1
137,0.25,0.22,4.66,1
899,0.306266,-2.403147,9.658593,0
796,-0.862468,-10.182521,7.349165,1
132,-0.23,0.75,6.41,1
80,0.36,-0.24,9.99,0
1864,0.389221,0.247896,9.959267,0
541,-0.058198,-2.349727,9.66161,0
1575,-2.79116,0.240215,3.678825,1
983,0.078281,-0.419723,9.938341,0
165,-2.29,-3.67,25.33,1
248,0.21,-0.6,9.75,0
446,1.608348,-1.630451,3.777169,1
1133,1.016674,-1.27247,10.761305,1
858,0.325975,-2.394441,9.666503,0
1566,2.232143,1.696943,7.9553,1
97,0.37,-0.25,9.95,0
1948,0.376962,0.257836,9.95261,0
737,1.876594,-2.152464,17.262674,1
1303,0.099551,-1.612964,9.826015,0
102,0.36,-0.25,9.98,0
434,1.525796,-1.950269,5.859943,1
74,0.35,-0.25,9.98,0
1769,0.351277,0.24983,9.960349,0
1185,0.035425,-4.226513,9.026639,0
918,0.323428,-2.397458,9.660633,0
1690,3.583976,-4.234931,13.447608,0
1650,0.457273,1.690192,7.638087,1
1600,0.89048,-0.500829,10.207114,0
762,0.996812,0.575911,4.816042,1
989,0.08327,-0.429165,9.963336,0
388,0.124958,-0.782167,9.926341,0
235,-0.03,-0.45,9.78,0
1487,0.007843,0.315307,7.365695,1
267,0.47,-0.71,10.02,0
1666,0.059185,0.722436,7.846019,1
117,0.68,1.28,8.85,1
1586,3.222902,-2.277911,9.039557,1
673,0.448118,-1.176338,9.897754,0
249,0.2,-0.57,9.74,0
1433,0.332286,0.452169,9.911325,0
1969,0.394497,0.220927,9.841472,0
94,0.37,-0.25,9.98,0
33,0.35,-0.24,9.94,0
1444,0.322537,0.454458,9.950695,0
1647,0.859116,0.224116,4.434904,1
448,-0.456153,0.806348,3.615704,1
716,-0.27586,1.448923,12.12394,0
1245,0.113543,-1.642892,9.941626,0
1498,-0.066693,2.010986,10.491411,1
0,0.35,-0.3,9.88,0
1356,0.107567,-1.628785,9.824119,0
1101,4.936844,-1.672302,14.028481,1
1108,0.037168,-1.75494,10.994251,1
82,0.36,-0.26,10.0,0
1269,0.110143,-1.625816,9.854946,0
676,0.458451,-1.175122,9.897592,0
1432,0.31434,0.458164,9.905512,0
1046,0.071405,-0.471782,9.965195,0
770,0.196363,-2.902405,2.757393,1
1523,-0.22427,1.412646,9.927346,1
1261,0.099101,-1.611729,9.801383,0
1560,-1.350876,1.717476,4.096834,1
1469,-0.541904,2.676401,6.668714,0
404,-0.097913,0.425057,9.28707,0
1932,0.543206,0.138031,9.799707,0
1542,-4.641543,-1.37567,14.165016,1
1655,0.032408,-0.173264,8.391438,1
104,0.36,-0.25,9.99,0
688,0.453146,-1.180188,9.887995,0
1286,0.098957,-1.627665,9.829242,0
826,0.285829,-2.371486,9.671645,0
62,0.36,-0.25,9.99,0
852,0.303307,-2.395629,9.656045,0
1334,0.098268,-1.621985,9.836022,0
223,-0.29,-0.88,9.69,0
145,-1.65,3.54,18.26,1
1088,0.37136,0.091008,9.529402,0
373,-0.323074,0.314416,10.33507,0
1401,0.364014,0.475086,9.803529,0
1142,-0.099101,-1.241968,6.526488,1
1804,0.396671,0.245607,9.963825,0
1475,0.377211,0.619466,10.912906,0
1581,0.809384,0.165947,6.081052,1
1251,0.099551,-1.638515,9.931043,0
9,0.36,-0.33,10.17,0
449,-0.469714,-0.18783,0.928634,1
708,0.685709,-0.607562,10.239521,0
255,0.6,-0.77,9.84,0
882,0.306611,-2.386665,9.667451,0
389,2.151114,-0.265977,9.093389,0
908,0.29578,-2.385621,9.668419,0
924,0.302177,-2.398205,9.65073,0
1682,1.050777,1.942569,7.534792,1
1811,0.378715,0.245712,9.952198,0
